p1_015_2x_Wedge-belt wheel 24.png	2x	Wedge-belt wheel ø24
p1_016_2x_Tyre for wedge-belt wheel.png	2x	Tyre for wedge-belt wheel
p1_019_4x_Biscuit 1x3x3, black.png	4x	Biscuit 1x3x3, black
p1_030_4x_Angle element, 0 degrees [1].png	4x	Angle element, 0 degrees [1]
p1_031_10x_2m fric. snap w cross hole.png	10x	2m fric. snap w/cross hole
p1_032_2x_Beam 1m w 2 snaps.png	2x	Beam 1m w/2 snaps
p1_033_12x_Beam 3 m. w 4 snaps.png	12x	Beam 3 m. w/4 snaps
p1_034_4x_Angular beam 90 degrees w 4 snaps.png	4x	Angular beam 90 degrees w/4 snaps
p1_041_2x_Flat tile 2x2, round, no. 1099.png	2x	Flat tile 2x2, round, no. 1099
p1_042_2x_Bionicle eye.png	2x	Bionicle eye
p2_143_4x_Double cross block.png	4x	Double cross block
p1_044_2x_Cross axle, extension 2m.png	2x	Cross axle, extension 2m
p1_045_4x_Angle element 135 degrees. [4].png	4x	Angle element 135 degrees. [4]
p1_046_4x_Brick round 2x2, white.png	4x	Brick round 2x2, white
p1_047_2x_Rim narrow 18x7 mm cross.png	2x	Rim narrow ø18x7 mm cross
p1_048_2x_Satellite dish 6x6.png	2x	Satellite dish 6x6
p1_049_1x_Ball.png	1x	Ball
p1_052_2x_Wire clip w cross hole, azur.png	2x	Wire clip w/ cross hole, azur
p1_053_4x_Technic 2m beam w cross hole.png	4x	Technic 2m beam w/cross hole
p1_058_2x_Wire clip w cross hole, blue.png	2x	Wire clip w/ cross hole, blue
p1_059_2x_Brick 2x4 w cross hole, blue.png	2x	Brick 2x4 w/ cross hole, blue
p1_061_2x_Double conical wheel z20.png	2x	Double conical wheel z20
p1_062_2x_Tube, w double 4.85 hole.png	2x	Tube, w/ double 4.85 hole
p1_063_2x_Wire clip w cross hole, yellow.png	2x	Wire clip w/ cross hole, yellow
p1_064_4x_Angle element 90 degrees [6].png	4x	Angle element 90 degrees [6]
p1_065_4x_Roof tile 1 x2 x 2 3.png	4x	Roof tile 1 x2 x 2/3
p1_066_4x_Brick w half bow 2x3 w cut.png	4x	Brick w/half bow 2x3 w/cut
p1_076_2x_Wire clip w cross hole, red.png	2x	Wire clip w/ cross hole, red
p2_119_2x_Brick 2x2, black.png	2x	Brick 2x2, black
p2_120_4x_Barrel 3x3.png	4x	Barrel 3x3
p2_123_2x_Upper part turntable z28.png	2x	Upper part turntable z28
p2_130_6x_Catch.png	6x	Catch
p2_131_12x_Connector peg.png	12x	Connector peg
p2_137_8x_Cross block 3x2.png	8x	Cross block 3x2
p2_138_10x_Beam 3 m. w 4 snaps.png	10x	Beam 3 m. w/4 snaps
p2_139_6x_Angular beam 90 degrees w 4 snaps.png	6x	Angular beam 90 degrees w/4 snaps
p2_144_2x_Brick 2x2, white.png	2x	Brick 2x2, white
p2_145_4x_Technic 3m beam.png	4x	Technic 3m beam
p2_146_6x_Technic angular beam 3x5 90 degrees.png	6x	Technic angular beam 3x5 90 degrees
p2_150_4x_Cross axle, extension, 2m.png	4x	Cross axle, extension, 2m
p2_151_2x_Rubber band, white.png	2x	Rubber band, white
p2_152_1x_Ball 19.png	1x	Ball ø19
p2_156_4x_Angle element, 157,5 degr. [3].png	4x	Angle element, 157,5 degr. [3]
p2_157_2x_Brick 2x2, azur.png	2x	Brick 2x2, azur
p2_158_6x_Technic 7m beam.png	6x	Technic 7m beam
p2_161_16x_Connector peg w knob.png	16x	Connector peg w/knob
p2_163_36x_Connector peg w. friction 3m.png	36x	Connector peg w. friction 3m
p2_164_2x_Double conical wheel z20 w hole.png	2x	Double conical wheel z20 w/ hole
p2_168_2x_Conical wheel z20.png	2x	Conical wheel z20
p2_170_16x_1 2 bush.png	16x	1/2 bush
p2_171_14x_Cross axle 3m.png	14x	Cross axle 3m
p2_172_6x_Tube, w double 4.85 hole.png	6x	Tube, w/ double 4.85 hole
p2_173_2x_Wire clip, w cross hole.png	2x	Wire clip, w/ cross hole
p2_174_12x_Angle element 90 degrees [6].png	12x	Angle element 90 degrees [6]
p2_175_4x_Brick round 2x2, yellow.png	4x	Brick round 2x2, yellow
p2_176_6x_Technic 3m beam.png	6x	Technic 3m beam
p2_177_4x_T-beam 3x3 w hole.png	4x	T-beam 3x3 w/hole
p2_178_8x_Technic angular beam 2x4 90 degrees.png	8x	Technic angular beam 2x4 90 degrees
p2_184_6x_2m friction snap w cross hole.png	6x	2m friction snap w/cross hole
p2_185_8x_Cross axle with 2m snap w fric..png	8x	Cross axle with 2m snap w/ fric.
p2_186_2x_Flat tile round 2x2, red.png	2x	Flat tile round 2x2, red
p2_187_2x_Rubber band, red.png	2x	Rubber band, red
p2_189_12x_Cross block 3m.png	12x	Cross block 3m
p2_190_4x_Technic cross block fork 2x2.png	4x	Technic cross block fork 2x2
p2_191_2x_Brick 2x4 w cross hole, red.png	2x	Brick 2x4 w/ cross hole, red
